Rank,Team Rank,Name,Credit,WUs

23311,1,jayare,33319163,661
24900,2,Alvin_Lee,31047268,396
36072,3,spaiduhz,20483275,2085
38575,4,EonStrife,18888629,585
42649,5,Sidney_Koh,16672025,4304
45004,6,KB,15588167,426
46901,7,binayak,14809292,1013
57840,8,Mu:3,11174804,317
59266,9,ToeBlister,10822106,180
64948,10,Wolve34,9562923,172
68549,11,LekGuan,8813525,4898
73354,12,FoldingSolutions,7962900,358
74519,13,db597,7785115,13375
81956,14,Melvin_Pao,6737258,164
84748,15,nightfox87,6397713,67
86200,16,Illusio,6226233,147
96068,17,SHOCKyan,5257119,1754
99825,18,Ezra_Tay,4944355,63
101412,19,slashershot,4820310,268
103417,20,mtadault,4667631,448
104544,21,steelburger,4587864,87
112411,22,Garbagex,4066330,2499
134033,23,Derek_Li,2984220,405
134975,24,leeseng,2945317,398
157047,25,ahpekSG,2219864,178
171977,26,guangyic,1855432,56
172207,27,MrT4C,1850995,486
172727,28,scamperor,1839159,695
176846,29,Huan,1751588,195
193131,30,bioanarchism,1458408,199
197799,31,christian.cattrysse,1387539,167
199231,32,forbytes,1365391,1122
202712,33,GiRaTiNA+P+CURE,1315904,228
207884,34,WeeJon,1246177,9969
220747,35,sirocco2001,1091031,85
226517,36,rayfx,1030638,8245
231186,37,ajit.bhimesh,985209,109
233990,38,arnoldgoh,956832,136
236756,39,matt_lbh,930791,152
242241,40,reflecto,880811,331
242839,41,lol123,875974,51
246526,42,Xanifar,845344,231
252796,43,Anthony_Rabiaza,795222,57
264134,44,www.bankdit.com,713825,1573
270632,45,SG_IronIIoxide,672675,162
275566,46,Sirocco,643610,87
286218,47,Kraz,585658,319
291464,48,Dryden28,559369,160
291608,49,tcss007,558673,1931
300671,50,tozx,516860,67
303988,51,heximal,502795,189
308218,52,klipschT5,485387,55
316462,53,arkaneslayer,453596,1269
348940,54,zenubis,351350,100
349923,55,zycarias,348713,328
350135,56,rtankm,348152,1271
370575,57,anthonygyk,298943,686
372593,58,aliase,294489,97
391592,59,Delaware Consulting Asia Pacific Pte Ltd,256746,256
392054,60,Anon_SG,255902,29
398120,61,HaLLoW,245201,179
399095,62,Dezchua,243538,2164
400201,63,dennis,241621,66
401948,64,khai19,238680,59
407728,65,Yuexiang,229496,961
419236,66,Scampero,212390,11
423084,67,Frogular,207045,865
442030,68,Matthew_Ang,182652,83
443743,69,Tjunz,180607,23
447715,70,LaoDanMan,175977,16
455070,71,xeno,167911,23
458303,72,huinar,164613,926
459280,73,TheDrybox,163539,227
459351,74,tantk,163452,12
464080,75,Looi,158665,296
476142,76,JamesCHW,147246,19
492181,77,cruznike,133725,64
497396,78,inchristweserve,129656,213
498547,79,SuHaw,128770,464
499230,80,ShivGodhia,128238,37
505381,81,Yukikaze88,123762,33
509211,82,Anonymous_NUS123,121090,15
518795,83,khaideadthelift,114605,51
532804,84,Rhincodon,105984,393
534212,85,Anonymous,105153,283
538825,86,CheeryPii,102602,35
542449,87,raptor84,100748,283
560498,88,PikaChiew,91185,44
565714,89,marcus123,88614,33
566319,90,Matt86,88316,25
582522,91,MustardBun,81081,10
584738,92,dannyboy325,80138,141
595468,93,ScholarWarrior,75742,10
607638,94,CityHunter,71119,28
609299,95,Reverie,70552,20
632720,96,JosephKw,62836,12
652722,97,rty,57081,219
681949,98,Ixnay,49823,16
699145,99,astrise,46083,94
704341,100,Alvin_Ong,45000,360
712583,101,Asura,43343,110
722731,102,NucleO,41493,350
746076,103,mistletoe72,37581,83
752727,104,1,36457,110
763235,105,Gaaary,34885,7
788998,106,julian.chow.sg,31319,121
799239,107,AlvinPek,29850,17
802355,108,www.yourfirstcreditcard.com,29408,277
803531,109,Eternal82,29254,176
810634,110,Dyzz,28354,59
819812,111,browniemeowmao,27273,9
821045,112,taenyislove,27134,23
828089,113,HPd325,26413,2214
841566,114,kiu,25065,100
866894,115,Sungjx,22532,31
872349,116,Euphoria,21940,25
873791,117,Neo,21784,350
875475,118,iWaffle,21602,17
879400,119,reno77,21214,42
881546,120,RG4LRL,21006,84
885998,121,RouAn,20585,17
895522,122,niftyrabbit75,19771,10
896556,123,puregreentea,19686,24
910863,124,fwaggot,18625,5
927947,125,Moloxiv,17500,140
946267,126,melvinpao,16554,5
949799,127,Zauvonte,16337,141
997220,128,MacBiff,13471,65
1011942,129,EG6,12600,50
1019976,130,baaron,12173,85
1023706,131,IzadRasheed,11987,39
1034583,132,Voxeros,11457,6
1059563,133,Elyt007,10405,2
1077583,134,Jervon_Nah,9779,121
1095238,135,AaronTan,9405,1
1095900,136,Shiv,9379,6
1115205,137,Kardelz,8687,17
1125447,138,Novastarlee,8385,2
1126346,139,youliang,8357,4
1149384,140,Wyon,7748,2
1160936,141,calvinwj,7547,6
1165382,142,YarnThen,7419,21
1188310,143,CSSC,6716,42
1189547,144,HW_Chan,6681,14
1194217,145,JRMLRY83,6543,12
1208245,146,TORYA,6176,20
1216017,147,XPDude,5994,14
1222998,148,crayonofgrey,5818,10
1235492,149,EugeneNg,5540,23
1272632,150,anglofreak,4803,13
1272644,151,SWolf,4802,19
1289148,152,Nothingmore.Nevermore,4500,13
1297071,153,erialis,4354,35
1331555,154,jerome,3809,10
1340981,155,cuban8,3681,19
1354101,156,burtonsayshello,3506,7
1366029,157,Heyuan,3343,13
1395494,158,pogipochi,2989,5
1434294,159,cheowps,2576,4
1437275,160,TBE,2547,1
1441656,161,Mikel_Syn,2510,12
1463343,162,madsumm,2309,8
1472032,163,hongsy,2250,18
1473589,164,Rocker,2237,9
1492299,165,ronald,2070,2
1506423,166,N16HTR04D,1982,23
1550500,167,UTAN,1699,42
1565776,168,kmolth,1594,13
1568887,169,NILDUDE,1573,4
1571876,170,Pkchukiss,1553,4
1579425,171,squeeish,1510,2
1600777,172,sgfah,1418,2
1602691,173,andzfold,1406,3
1610797,174,BigQ_sh,1361,6
1622979,175,SpinFire,1292,7
1689546,176,Charlie_L._Wong,1013,18
1703922,177,samuelanonymous,999,4
1724544,178,Athlex,921,9
1725627,179,hwjeremy,917,3
1762460,180,moon-surface3,800,1
1775330,181,HP_folding,766,8
1823565,182,jayray,662,6
1836749,183,Singapore,625,5
1850937,184,JeremyTayMacBookPro,590,2
1879392,185,0110110101100101,530,1
1916493,186,uic,490,13
1917946,187,Kenneth83,486,2
1979732,188,KJ,375,3
1985210,189,Jianying_intel,371,2
2004849,190,elvenstar,344,6
2026282,191,kenlee,318,2
2030091,192,RaimondKuhlman,310,1
2062509,193,gokul,281,3
2107475,194,Anabanana,250,2
2126986,195,lolololz,243,1
2137979,196,Dicryptor,239,1
2145746,197,prawnfart,229,2
2177540,198,Borei,207,1
2189304,199,noodle,191,10
2207796,200,shuyun,171,1
2209564,201,Nuc_e0,168,5
2210014,202,CSS,168,89
2223098,203,zer0ne,151,83
2241543,204,df,126,3
2246895,205,Dez,125,1
2289032,206,AlienAngel,80,44
2289277,207,Todd_On,80,13
2290223,208,Ahjian,78,27
2299897,209,gamerx,70,1
2316570,210,DCGraphic,63,1
2325890,211,Air_Intake,53,2
2335415,212,agsm1,46,22
2337232,213,FuKiE,45,3
2364913,214,YxY,26,4
2374021,215,Joel,21,12
2404245,216,kengbeng,10,2
2428673,217,Tomato,4,3
2433882,218,^sWirL^,2,1
